id,product_id,name,value,price_modifier,stock,sku
3d5e65b9-ad9a-4e6e-aae7-3b945e49eda2,dc0fd881-638e-405f-98d2-418db65d8b38,weight,50mg/cap,0.00,0,
3df15ade-952d-4dd8-8aab-af0d97573be4,29637bd6-120e-496e-8700-502baf1a4bed,weight,5mg,0.00,0,
3e6c2e6f-a24d-42cf-b50f-3ef5d81fe0b8,02ab2421-436f-434d-b8c6-0db912c3c0b0,Weight,15mg,0.00,0,
3ea9f42f-0f94-41bf-8cb6-b66b2e055ca9,b504b64f-415b-47fa-930c-c7ec2eb89c1d,Weight,10/10mg,0.00,0,
412a8d50-fd23-416d-b887-421ab0ee409f,bf95dfb3-dee5-462c-ba9c-a8842cbdec09,Strength,2mg × 10 vials,0.00,100,MGF-2MG10VIALS
414f5775-b6ad-46b9-9d30-274dc819480b,d30ecc7c-ba30-4d84-9e7b-6c202c2a7346,Weight,5mg,0.00,0,
42c4c774-2793-4bcc-b308-0765fff0196e,7afcbfea-5fe0-42df-b004-93a6cbf236a4,Weight,5mg,0.00,0,
438198a3-eaa8-4efc-be4f-07730692751c,997286a1-2212-4de6-ba18-6c53c38c9d9b,Weight,"2mg, 5mg",0.00,0,
439ea594-c694-4dfc-9314-08d8b5a00a78,02ab2421-436f-434d-b8c6-0db912c3c0b0,Weight,20mg,0.00,0,
444b2a96-8932-4f96-80cf-dbf1469ebe15,b67bf669-c452-4ff9-9d1a-effd1138220d,weight,500/500mcg/cap,0.00,0,
46305c27-c8dd-4cc7-9baf-8839b7b06428,d30ecc7c-ba30-4d84-9e7b-6c202c2a7346,Weight,10mg,0.00,0,
46bc6590-8fdb-499d-a5e7-2c311427666a,c9d90385-324b-42cc-b918-4b49faa902fb,weight,50mg,0.00,0,
46e2d0d4-f45f-4cfc-8e46-a26c7ba7ecf4,8697cfe5-41f0-4321-9c6b-7ec731c03702,Dosage,10mg × 10 vials,0.00,100,
47b91e60-b9c2-4430-a8e0-6c32c4521e06,ace29784-310d-4675-88c4-87967b2d2afa,Dosage,5mg × 10 vials,0.00,100,
486223b3-34f5-4eb2-83f9-fd98d9273c9f,5b45bb77-d575-4d5c-9e30-923f8c4dd11c,weight,10mg,0.00,0,
4897f810-32d7-4c24-b2d3-86c25af76d95,4cbc381b-76ab-4a1a-9f3a-1c4781a4c46d,Dosage,10mg × 10 vials,15.00,100,
48de6563-900b-4afc-ba1b-d7b6ab01322a,e4489d3c-18ee-41d1-bbac-2dd91471d36d,weight,0.5/2/0.5mg/cap,0.00,0,
4970bdc9-fd29-4291-9896-eff87048a040,a279ae74-1533-47b0-bb14-e00c80203c43,Strength,5mg × 10 vials,32.00,100,CJC1295WITHOUTDAC-5MG10VIALS
4a3a2ed1-28c7-4926-8046-80b79d7d0978,a9d76e10-b9b5-4ae8-9fd8-059d51703037,weight,"5mg, 10mg",0.00,0,
4a5eb511-c1e8-47e6-9a6a-a6744675ff40,b97f5f8a-2f0b-4626-aaea-1809d0ed3a2e,Weight,5mg,0.00,0,
4e5320ac-afae-4744-afdc-df2927df0fd2,2e521bde-aabf-4937-958e-4a511ea88756,Dosage,100mg × 10 vials,20.00,100,
4ed12890-b8ef-4008-b142-99b45924a9a9,e6419be1-8d75-45a5-aeeb-ab54a043f1b1,weight,10/10mg,0.00,0,
4ed53777-5e80-412f-a484-618beba29e52,b2f9d6d1-857c-4b61-a04d-fdf34c4bf0bd,Strength,5mg × 10 vials,80.00,100,CJC1295WITHDAC-5MG10VIALS
